url,context,first_referenced,wayback
https://gamefaqs.gamespot.com/3ds/805514-another-world-20th-anniversary-edition/faqs/78570,gamefaqs walkthrough cited as the source of the gun-ammo open question,2026-04-29,yes
https://web.archive.org/web/20260429192338/https://gamefaqs.gamespot.com/3ds/805514-another-world-20th-anniversary-edition/faqs/78570,wayback snapshot of the gamefaqs walkthrough,2026-04-29,yes
https://github.com/felipesanches/AnotherWorld_VMTools,upstream pinned tool dependency for bytecode disassembly/assembly,2026-04-29,
https://github.com/felipesanches/ExecTrace,Python ExecTrace library used by AWVM_Tools (and ported to Rust),2026-04-29,
https://files.pythonhosted.org/packages/48/79/c8006d9a81f3c71cf84ac194aeabd293ac5520c44dbce9703d2542061a43/exectrace-0.0.5-py2.py3-none-any.whl,exectrace==0.0.5 wheel for parity validation,2026-04-29,
https://www.classicgames.me/another-world-on-msdos.html,MSDOS release landing page,2026-04-29,
https://downloaddosgames.classicgames.me/d.php?game=72c55ce42569b90596b5d4,MSDOS direct download,2026-04-29,
http://www.anotherworld.fr/anotherworld_uk/telechargement.htm,Eric Chahi's official telechargement page (Windows XP demo),2026-04-29,
http://www.anotherworld.fr/download/AnotherWorld_Demo.exe,Windows XP hires 1.1c demo direct download,2026-04-29,
http://www.thedigitalounge.com/presskit.html,Amiga retro presskit landing page,2026-04-29,
http://www.thedigitalounge.com/dl/AnotherWorld-Retro-presskit.zip,Amiga retro presskit download,2026-04-29,
https://wowroms.com/en/roms/super-nintendo/another-world-europe/26953.html,SNES Europe ROM page (existing fixture),2026-04-29,
https://wowroms.com/en/roms/super-nintendo/download-another-world-europe/26953.html,SNES Europe ROM download,2026-04-29,
https://wowroms.com/en/roms/sega-genesis-megadrive/download-another-world-europe/25230.html,Genesis Europe ROM page (existing fixture),2026-04-29,
https://slave6t.wowroms.com/d/roms/g/xXs9U89koudbqQCWuDui/k1/a5a9c5a532575a1/k2/0c628c62c5bf294,Genesis Europe ROM direct download,2026-04-29,
https://archive.org/details/anotherworldamiga,alt Amiga (CC0) — independent dump separate from presskit,2026-04-30,
https://archive.org/download/anotherworldamiga/Another%20World_Disk1.adf,alt Amiga Disk1 ADF direct download,2026-04-30,
https://archive.org/download/anotherworldamiga/Another%20World_Disk2.adf,alt Amiga Disk2 ADF direct download,2026-04-30,
https://www.atarimania.com/game-atari-st-another-world_31309.html,Atari ST 1991 release Pasti dump landing page,2026-04-30,
https://www.atarimania.com/pgedump.awp?id=31309,Atari ST 1991 Pasti zip direct download,2026-04-30,
https://archive.org/details/out-of-this-world-usa-3do,3DO USA Redump ISO,2026-04-30,
https://archive.org/download/out-of-this-world-usa-3do/Out%20of%20this%20World%20%28USA%29.bin,3DO USA bin direct download,2026-04-30,
https://archive.org/download/out-of-this-world-usa-3do/Out%20of%20this%20World%20%28USA%29.cue,3DO USA cue direct download,2026-04-30,
https://www.macintoshrepository.org/5313-another-world-aka-out-of-this-world-,Mac classic OS download (canonical SHA1s published),2026-04-30,
https://macintoshgarden.org/games/another-world-aka-out-of-world,alternative Mac source (Macintosh Garden),2026-04-30,
https://www.oldgames.sk/en/game/another-world/download/6503/,Apple IIgs 2mg landing page,2026-04-30,
https://www.oldgames.sk/en/game/another-world/download/5305/,oldgames.sk 3DO listing,2026-04-30,
https://archive.org/details/snes_Out_of_This_World_USA,SNES USA archive.org item (manual scans only),2026-04-30,
https://archive.org/details/sg_Out_of_This_World_1992_Delphine_Virgin_US,Genesis US archive.org stream-only emulation,2026-04-30,
https://archive.org/details/Heart_of_the_Alien_Out_of_This_World_Parts_I_and_II_1994_Virgin_US,Heart of the Alien Sega CD archive.org page (stream only),2026-04-30,
https://www.myabandonware.com/game/heart-of-the-alien-out-of-this-world-parts-i-and-ii-bbj,Heart of the Alien Sega CD source (myabandonware),2026-04-30,
https://www.emuparadise.me/Sega_CD_ISOs/Heart_of_the_Alien_-_Out_of_This_World_Part_I_&_II_(U)/63983,Heart of the Alien Sega CD source (emuparadise),2026-04-30,
https://cdromance.org/sega_cd_isos/heart-of-the-alien-out-of-this-world-parts-i-and-ii-usa/,Heart of the Alien Sega CD source (cdromance) — sample CRC32 c524515e,2026-04-30,
https://romhustler.org/rom/segacd/heart-of-the-alien-out-of-this-world-part-i-ii-u,Heart of the Alien Sega CD source (romhustler),2026-04-30,
https://archive.org/details/RedumpSegaMegaCdSegaCd20160731,Redump Sega CD batch on archive.org,2026-04-30,
https://www.emuparadise.me/Super_Nintendo_Entertainment_System_(SNES)_ROMs/Out_of_This_World_(USA)/34824,SNES USA candidate source,2026-04-30,
https://cdromance.org/snes-rom/out-of-this-world-aka-another-world-usa/,SNES USA candidate source,2026-04-30,
https://bsnes.org/snes-roms/out-of-this-world/,SNES USA candidate source,2026-04-30,
https://www.emu-land.net/en/consoles/snes/roms/out-of-this-world,SNES Europe + USA candidate source,2026-04-30,
https://retrogames.cz/play_307-SNES.php,SNES retrogames.cz,2026-04-30,
